"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","vervet_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","gse_slope30m","build_dens","settle_dist"
"628",209,235,"NA","uuid:c8e5e672-e7d0-45f6-94bd-713022f83a0e","Nyiberekera",28,"Male","Mtaturu","O_level","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",14,"Yes","15_30","9","4","Guarding Shouting","","Baboon Elephant Other","Nguruwe","Elephant","","Often","Cattle Sheep Goat Dog Chicken","150","120","70","NA","6","20","NA","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","1","15","17","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant Hyena",1267.4,4.9,"uuid:c8e5e672-e7d0-45f6-94bd-713022f83a0e",1,1,0,0,1,0,0,1,0,0,1,"baboon",209,0.332433849573135,0.0384126976132393,0.176613762974739,0.0417460314929485,0,1.60577952861786,6.52093172073364,5146.62255859375
"629",210,236,"NA","uuid:c693a647-a702-4ca5-ba16-659de065cf80","Kyandege",38,"Male","Mtaturu","Primary","Yes","6",1,"Young_boy Adolesc_boy Men Adolesc_girl Women",1,1,"1","1","1","NA","2","1",4,"Frequently","Yes","No","Crop_damage","Weather",4,"Yes","15_30","9","2","Guarding Shouting","","Baboon Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",957.8,6.5,"uuid:c693a647-a702-4ca5-ba16-659de065cf80",1,1,0,0,0,0,0,0,0,0,1,"baboon",210,0.345238089561462,0.0305291004478931,0.198783069849014,0.0388359799981117,0.00857142824679613,1.5544331073761,11.826096534729,7067.49951171875
"630",211,237,"NA","uuid:e02d7286-f03c-45d9-b202-a2da3c3c94a2","Nyamisingisi",30,"Female","Mtaturu","Primary","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Weather",5,"Yes","15_30","9","2","None","","Buffalo Other","Nyumbu","Elephant","","","Cattle Sheep Goat Dog Chicken","105","85","32","NA","6","15","NA","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","7","14","21","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1114.2,5,"uuid:e02d7286-f03c-45d9-b202-a2da3c3c94a2",0,0,1,0,1,0,0,1,0,0,0,"baboon",211,0.417830675840378,0.0221693124622107,0.153968259692192,0.0279365070164204,0.00920634903013706,1.8294529914856,10.1682329177856,7311.44189453125
"631",212,238,"NA","uuid:d5b36796-517a-437d-ba7e-4cf284792ace","Kyandege",59,"Male","Mnandi","Primary","Yes","7",1,"Young_boy Men Adolesc_girl Women",1,1,"2","NA","3","NA","1","1",4,"Once_or_twice","Yes","Yes","Crop_damage","Weather",8,"Yes","0_15","9","3","Guarding","","Baboon Other","Tumbili","Baboon","","","Cattle Dog Chicken","52","NA","NA","NA","3","20","NA","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1219.1,4.8,"uuid:d5b36796-517a-437d-ba7e-4cf284792ace",0,1,0,0,1,1,0,0,0,0,1,"baboon",212,0.437777787446976,0.0493121705949306,0.214973539113998,0.0357142873108387,0.0103703700006008,1.70627248287201,17.0207366943359,9089.2490234375
"632",213,239,"NA","uuid:5c06531d-eb88-449a-a115-8ca60d3574e5","Nyamisingisi",20,"Male","Mtaturu","Primary","Yes","4",1,"Men Adolesc_girl Women",1,1,"NA","NA","2","NA","1","1",4,"Frequently","Yes","Yes","No_conflict","Weather",6,"No","30_45","9","2","Guarding","","","","","","","Cattle Sheep Dog Chicken","50","120","NA","NA","4","18","NA","NA","Weather","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","2","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1247,4.8,"uuid:5c06531d-eb88-449a-a115-8ca60d3574e5",0,0,0,0,0,0,0,0,0,0,0,"baboon",213,0.364444434642792,0.0449735447764397,0.245502650737762,0.0292063485831022,0.0150793651118875,1.86088442802429,26.0284652709961,9229.4970703125
"633",214,240,"NA","uuid:d0a6e289-5c72-416a-90bc-edad4afeb300","Kitembere",60,"Male","Mtaturu","None","Yes","9",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"1","2","2","1","2","1",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",6,"Yes","15_30","9","3","Guarding Shouting","","Elephant","","Elephant","","Often","Cattle Sheep Goat Dog","50","8","5","NA","3","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","7","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1414.9,6.5,"uuid:d0a6e289-5c72-416a-90bc-edad4afeb300",1,0,0,0,0,0,0,1,0,0,0,"baboon",214,0.672698438167572,0.0296825394034386,0.153068780899048,0.0214285720139742,0.00164021167438477,3.04835605621338,26.5810852050781,7321.63525390625
"634",215,241,"NA","uuid:540eea67-a894-40fe-8d6c-36bdc2a0a511","Motukeri",29,"Male","Msukuma","Primary","Yes","3",1,"Men Women",1,1,"NA","NA","2","NA","NA","1",4,"Few_times","Yes","Yes","Crop_damage","Weather",5,"No","45_60","9","3","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Often","Cattle","79","NA","NA","NA","NA","NA","NA","NA","Grazing_land","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1293.4,2.9,"uuid:540eea67-a894-40fe-8d6c-36bdc2a0a511",1,0,0,0,0,0,0,0,0,0,0,"baboon",215,0.459417998790741,0.00185185181908309,0.267777770757675,0.0159259252250195,0.00767195783555508,2.0486421585083,16.5786399841309,1219.98352050781
"635",216,242,"NA","uuid:50931a40-a783-43d9-84cd-fd3c4f2aa2c6","Motukeri",35,"Female","Msukuma","Primary","Yes","9",1,"Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"NA","1","2","1","3","2",4,"Few_times","Yes","Yes","No_conflict","Weather",4,"Yes","15_30","9","1","Shouting","","","","","","","Cattle Sheep Goat Dog Chicken Other","9","11","2","NA","3","8","NA","4","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1384.2,4.9,"uuid:50931a40-a783-43d9-84cd-fd3c4f2aa2c6",0,0,0,0,0,0,0,0,0,0,0,"baboon",216,0.347195774316788,0.147089943289757,0.33328041434288,0.0184656083583832,0,6.4137020111084,30.7810077667236,6167.15087890625
"636",217,243,"NA","uuid:2125eb9c-45c5-44df-8b19-689a05ddcf8b","Buchora",42,"Female","Msukuma","None","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","No_conflict","Weather",4,"No","45_60","9","2","None","","","","","","","Sheep Dog","NA","10","NA","NA","2","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1429.2,4.8,"uuid:2125eb9c-45c5-44df-8b19-689a05ddcf8b",0,0,0,0,0,0,0,0,0,0,0,"baboon",217,0.253121703863144,0.138941794633865,0.451322764158249,0.0307407416403294,0,5.58166265487671,31.8309879302979,8243.2822265625
"637",218,244,"NA","uuid:6357d47f-2498-47b7-9466-d90d4f2e778b","Motukeri",29,"Male","Msukuma","Primary","Yes","6",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"1","NA","1","1","2","1",3,"Once_or_twice","Yes","No","No_conflict","Weather",3,"Yes","15_30","9","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1464.6,5,"uuid:6357d47f-2498-47b7-9466-d90d4f2e778b",0,0,0,0,0,0,0,0,0,0,0,"baboon",218,0.324656099081039,0.128412693738937,0.382910043001175,0.0250264555215836,0,5.59691524505615,29.4547176361084,6766.49462890625
"638",219,245,"NA","uuid:a6a83240-c40a-4bf6-b676-34b96b86569e","Buchora",30,"Female","Msukuma","Primary","Yes","5",1,"Young_boy Men Young_girl Adolesc_girl",1,1,"1","NA","1","1","2","NA",4,"Frequently","Yes","No","Crop_damage","Wildlife",3,"Yes","15_30","9","1","Shouting","","Elephant","","Elephant","","Rarely","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1404.9,5,"uuid:a6a83240-c40a-4bf6-b676-34b96b86569e",1,0,0,0,0,0,0,0,0,0,0,"baboon",219,0.310370355844498,0.108095236122608,0.417248666286469,0.0214814823120832,0,4.83272075653076,23.7074546813965,7054.30126953125
"639",220,246,"NA","uuid:214912b6-11d0-4f17-be35-47af11bfd0f4","Motukeri",28,"Male","Mnatta","Primary","Yes","9",1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,"2","2","1","1","NA","3",4,"Frequently","Yes","Yes","Crop_damage Structure","Weather",5,"Yes","15_30","9","1","Shouting","","Elephant Other","Tumbili","Elephant","","Never","Cattle Sheep Dog Chicken","30","8","NA","NA","3","12","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1369.6,4.5,"uuid:214912b6-11d0-4f17-be35-47af11bfd0f4",1,0,0,0,1,1,0,0,0,0,0,"baboon",220,0.315449744462967,0.0974074080586433,0.358994722366333,0.0158201064914465,0,4.41877365112305,29.2336692810059,4780.9833984375
"640",221,247,"NA","uuid:14a859f4-2aeb-492a-87f2-ea515f22af96","Natta",36,"Female","Mwikoma","Primary","Yes","10",1,"Adolesc_boy Men Adolesc_girl Women",1,1,"NA","3","1","NA","3","3",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",4.5,"Yes","60_plus","9","2","None","","Elephant","","Elephant","","Always","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1383.4,4.9,"uuid:14a859f4-2aeb-492a-87f2-ea515f22af96",1,0,0,0,0,0,0,0,0,0,0,"baboon",221,0.374603182077408,0.0608465597033501,0.280529111623764,0.0204761903733015,0.00761904753744602,2.66548299789429,47.414909362793,3556.64526367188
"641",222,248,"NA","uuid:f7fed323-fcb9-427c-af54-6de0c1277e7d","Natta",23,"Male","Mwisenye","Primary","Yes","3",1,"Young_boy Men Women",1,1,"1","NA","1","NA","NA","1",4,"Frequently","Yes","Yes","Crop_damage","Weather",3,"Yes","0_15","9","1","None","","Elephant","","Elephant","","Often","Cattle Sheep Goat Dog","20","42","22","NA","10","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1419.3,3.9,"uuid:f7fed323-fcb9-427c-af54-6de0c1277e7d",1,0,0,0,0,0,0,0,0,0,0,"baboon",222,0.272910058498383,0.120846562087536,0.346243381500244,0.0175132267177105,0,3.98049592971802,15.6391839981079,5594.29150390625
"642",223,249,"NA","uuid:1256b0ea-a25d-4190-8668-28703e30aea4","Natta",65,"Male","Msukuma","Primary","No","6",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","No","No_conflict","Weather",3.5,"Yes","0_15","9","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1447.4,4.1,"uuid:1256b0ea-a25d-4190-8668-28703e30aea4",0,0,0,0,0,0,0,0,0,0,0,"baboon",223,0.226931214332581,0.150370374321938,0.483333319425583,0.0300529096275568,0,4.69865989685059,30.7810077667236,8755.2890625
"643",224,250,"NA","uuid:769e710a-8db8-4034-962e-54843e1dd216","Makundusi",56,"Female","Mwikoma","Primary","Yes","9",1,"Adolesc_boy Men Women",1,1,"NA","5","3","NA","NA","1",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",2,"Yes","60_plus","10","2","None","","Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1394.9,4.5,"uuid:769e710a-8db8-4034-962e-54843e1dd216",1,0,0,0,0,0,0,0,0,0,0,"baboon",224,0.195238098502159,0.025925925001502,0.505925953388214,0.0234920643270016,0.0099470904096961,2.84544467926025,31.9415130615234,3045.54931640625
"644",225,251,"NA","uuid:2ffc85f2-9cdb-4b4e-af65-8c06b06e1a1c","Makundusi",22,"Female","Mkurya","Primary","Yes","6",1,"Young_boy Men Young_girl Women",1,1,"2","NA","1","2","NA","1",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",2,"Yes","15_30","9","2","Guarding Shouting","","Elephant","","Elephant","","Sometimes","Cattle Dog","23","NA","NA","NA","4","NA","NA","NA","Weather","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle","1","NA","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1299.6,4.8,"uuid:2ffc85f2-9cdb-4b4e-af65-8c06b06e1a1c",1,0,0,0,0,0,0,1,0,0,0,"baboon",225,0.267989426851273,0.00999999977648258,0.406349211931229,0.0232804231345654,0.0169841274619102,2.52063059806824,20.0048923492432,658.386840820312
"645",226,252,"NA","uuid:d563166b-6798-46c8-ab55-0bded877426a","Makundusi",40,"Female","Msukuma","Primary","Yes","10",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"1","1","2","2","2","2",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",5,"No","60_plus","9","3","Guarding Shouting","","Elephant","","Elephant","","Never","Cattle Sheep Goat Dog Chicken","150","23","32","NA","2","5","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","10","5","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Hyena",1316.6,4.3,"uuid:d563166b-6798-46c8-ab55-0bded877426a",1,0,0,0,0,0,0,1,0,0,0,"baboon",226,0.295238107442856,0.00433862442150712,0.362698405981064,0.0208465605974197,0.00867724884301424,2.2233784198761,24.5916500091553,976.853271484375
"646",227,253,"NA","uuid:2535d316-56d3-4728-a737-2aa2d95892a4","Makundusi",31,"Male","Msukuma","Primary","Yes","4",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","1","NA","1",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",2,"No","60_plus","9","2","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Always","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1361.1,4.7,"uuid:2535d316-56d3-4728-a737-2aa2d95892a4",1,0,0,0,0,0,0,0,0,0,0,"baboon",227,0.159788355231285,0.00862433854490519,0.530634939670563,0.0101587297394872,0.0117460321635008,2.68232440948486,43.8228721618652,2363.59423828125
"647",228,254,"NA","uuid:1760af3c-ad90-44cb-acc8-4f827641d72a","Makundusi",23,"Female","Mnata","O_level","Yes","9",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"1","NA","2","1","2","3",4,"Frequently","Yes","Yes","Crop_damage Structure","Wildlife",2,"Yes","15_30","11","2","Fire Shouting","","Elephant","","Elephant","","Always","Cattle Sheep Goat Dog Chicken","22","32","4","NA","2","12","NA","NA","Weather","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1362.6,5,"uuid:1760af3c-ad90-44cb-acc8-4f827641d72a",1,0,0,0,0,0,0,0,0,0,0,"baboon",228,0.177619054913521,0.0106349205598235,0.567089974880219,0.0155555559322238,0.0116402115672827,2.81137371063232,49.2938232421875,2620.38134765625
"648",229,255,"NA","uuid:b1844f4c-bcdf-4988-9693-62cad7f44424","Makundusi",62,"Male","Mwikoma","None","Yes","2",1,"Men Women",1,1,"NA","NA","1","NA","NA","1",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",2,"Yes","0_15","9","4","None","","Elephant","","Elephant","","Always","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1351,5,"uuid:b1844f4c-bcdf-4988-9693-62cad7f44424",1,0,0,0,0,0,0,0,0,0,0,"baboon",229,0.241058200597763,0.00619047600775957,0.546031773090363,0.0341269858181477,0.015238095074892,2.5623881816864,46.6412391662598,1508.70422363281
"649",230,256,"NA","uuid:d544ebb6-805f-49bd-9ec5-2ccfbaf34c2d","Makundusi",42,"Female","Mkurya","Primary","Yes","12",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"2","2","3","2","2","1",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",10,"Yes","0_15","9","4","Guarding Shouting Chasing","","Elephant","","Elephant","","Always","Cattle Sheep Goat Dog Chicken","36","8","40","NA","3","25","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","3","2","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1375.2,3.6,"uuid:d544ebb6-805f-49bd-9ec5-2ccfbaf34c2d",1,0,0,0,0,0,0,1,0,0,0,"baboon",230,0.156041339039803,0.027261259034276,0.617999136447906,0.0157305542379618,0.00310520897619426,2.96536827087402,29.6205024719238,4769.53857421875
"650",231,257,"NA","uuid:eea11bc1-b083-4a27-aaec-360c5b1a5157","Makundusi",24,"Male","Msukuma","Primary","Yes","8",1,"Young_boy Men Young_girl Women",1,1,"2","NA","3","1","NA","2",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",10,"Yes","0_15","9","4","Guarding Shouting Chasing","","Elephant","","Elephant","","Rarely","Cattle Sheep Goat Dog Chicken Duck","12","18","6","NA","4","12","4","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","3","2","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant Hyena",1387.6,4.4,"uuid:eea11bc1-b083-4a27-aaec-360c5b1a5157",1,0,0,0,0,0,0,1,0,0,0,"baboon",231,0.148730158805847,0.028835978358984,0.656984150409698,0.012116402387619,0,3.164386510849,30.0073375701904,5100.64892578125
"651",232,258,"NA","uuid:4a7b02b5-f7f4-496b-b813-75511a213238","Makundusi",36,"Male","Mkurya","Primary","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",3.5,"Yes","0_15","9","3","Guarding Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Chicken","5","10","NA","NA","NA","12","NA","NA","Low_productivity","Day_contain Night_contained","NA","NA","Day_guard Night_contain","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","2","3","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant Hyena",1424,4.2,"uuid:4a7b02b5-f7f4-496b-b813-75511a213238",1,0,0,0,0,0,0,1,0,0,0,"baboon",232,0.123333334922791,0.0182539690285921,0.709206342697144,0.0184656083583832,0.000687830673996359,2.85161232948303,47.028076171875,3926.9892578125
"652",233,259,"NA","uuid:22d07c80-04f7-43e5-b917-12281819abd9","Wamahe",26,"Female","Mkurya","Primary","No","8",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"4","NA","1","1","1","1",4,"Frequently","Yes","Yes","Crop_damage Structure","Wildlife",8,"No","30_45","9","4","Guarding Shouting","","Elephant","","Elephant","","Often","Sheep Dog Chicken Duck","NA","12","NA","NA","4","6","13","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1428.7,5,"uuid:22d07c80-04f7-43e5-b917-12281819abd9",1,0,0,0,0,0,0,0,0,0,0,"baboon",233,0.129259258508682,0.0192063488066196,0.647513210773468,0.0203174594789743,0,3.69119739532471,52.0016670227051,4097.36279296875
"653",234,260,"NA","uuid:ddb8587e-8125-48a3-810c-787b22a0d900","Natta",40,"Male","Mnata","Primary","Yes","6",1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,"1","1","1","2","NA","1",4,"Frequently","Yes","No","Crop_damage","Wildlife",3,"Yes","0_15","9","4","Guarding Fire Shouting","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1401.3,4.9,"uuid:ddb8587e-8125-48a3-810c-787b22a0d900",1,0,0,0,0,0,0,0,0,0,0,"baboon",234,0.298080116510391,0.0582859180867672,0.497568309307098,0.0258261188864708,0,3.85087537765503,20.6127758026123,6697.71435546875
"654",235,261,"NA","uuid:66cf94c8-c2f9-46f9-a0ed-a204b9fa3b34","Natta",23,"Female","Msukuma","None","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","Crop_damage","Wildlife",4,"No","45_60","9","3","None","","Elephant","","Elephant","","Sometimes","Cattle Sheep Goat Dog Chicken Duck","25","10","6","NA","1","13","5","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1464.9,4.9,"uuid:66cf94c8-c2f9-46f9-a0ed-a204b9fa3b34",1,0,0,0,0,0,0,0,0,0,0,"baboon",235,0.216296300292015,0.1283068805933,0.500052928924561,0.0291534382849932,0,4.36435222625732,29.7310276031494,7559.64990234375
"655",236,262,"NA","uuid:9d2fff36-d4e4-40de-8991-5f9b4dda84eb","Natta",56,"Female","Mnatta","Primary","Yes","7",1,"Young_boy Adolesc_boy Men Women",1,1,"2","1","2","NA","NA","2",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Weather",8,"No","45_60","9","1","None","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken","20","3","3","NA","5","4","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","1","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1485.5,4.8,"uuid:9d2fff36-d4e4-40de-8991-5f9b4dda84eb",1,0,0,0,1,1,0,1,0,0,0,"baboon",236,0.123333334922791,0.133968248963356,0.488518506288528,0.0175132267177105,0,4.14171171188354,29.4547176361084,6336.23193359375
"656",237,263,"NA","uuid:dc006130-4346-46d3-b2ca-844b852f6999","Wamahe",25,"Female","Mkurya","Primary","Yes","11",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"3","1","1","3","1","2",4,"Frequently","Yes","Yes","Crop_damage Structure","Wildlife",5,"Yes","0_15","9","2","None","","Elephant","","Elephant","","Always","Cattle Sheep Goat Dog Chicken","25","12","15","NA","5","12","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1372.1,5,"uuid:dc006130-4346-46d3-b2ca-844b852f6999",1,0,0,0,0,0,0,0,0,0,0,"baboon",237,0.180687829852104,0.0153968250378966,0.580740749835968,0.0234391540288925,0,2.80479741096497,55.2068710327148,2728.42895507812
